SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT578_A,UT578_AF,UT578_AS,UT6581,sum
0.0,135.3846153846154,0.0,0.0,60.92307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.7692307692308,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1007.0769230769231
0.0,0.0,0.0,533.076923076923,0.0,192.3846153846154,0.0,0.0,0.0,0.0,344.66923076923075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1071.1307692307691
0.0,212.30769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.68461538461538,0.0,0.0,0.0,0.0,722.7692307692308,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1030.7615384615385
0.0,66.15384615384616,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.6538461538462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1098.8076923076924
0.0,0.0,0.0,505.38461538461536,0.0,203.4230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.5769230769231,0.0,0.0,1.0,0.0,0.0,0.0,0.0,947.3846153846154
0.0,283.0769230769231,0.0,0.0,0.0,41.78846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.4615384615385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,968.3269230769231
0.0,0.0,0.0,0.0,0.0,0.0,4.084615384615384,0.0,0.0,179.32692307692307,0.0,0.0,0.0,0.0,836.5384615384615,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1020.95
0.0,0.0,0.0,389.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.4615384615385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,946.4615384615383
0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,124.81153846153846,0.0,0.0,0.0,0.0,806.4230769230769,0.0,0.0,1.0,0.0,0.0,0.0,0.0,961.7346153846154
0.0,0.0,0.0,0.0,215.76923076923077,111.96153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.6923076923077,0.0,0.0,1.0,0.0,0.0,0.0,0.0,944.4230769230769
0.0,0.0,0.0,0.0,89.6923076923077,0.0,0.0,0.0,0.0,278.31538461538463,0.0,0.0,0.0,0.0,609.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,978.0076923076923
0.0,49.23076923076923,0.0,399.23076923076917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0384615384615,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1068.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.14615384615385,109.12307692307692,0.0,0.0,0.0,729.4615384615385,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1077.7307692307693
0.0,0.0,0.0,230.76923076923075,169.23076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.6538461538462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1093.6538461538462
0.0,0.0,0.0,297.6923076923077,0.0,0.0,0.0,0.0,0.0,226.66923076923078,0.0,0.0,0.0,0.0,535.3846153846154,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1060.746153846154
0.0,0.0,0.0,357.6923076923077,0.0,0.0,0.0,0.0,0.0,77.46923076923078,0.0,0.0,0.0,0.0,609.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1045.1615384615384
0.0,0.0,0.0,0.0,0.0,141.1346153846154,103.02307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.2307692307693,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1088.3884615384616
0.0,0.0,0.0,0.0,0.0,115.90384615384615,0.0,0.0,0.0,0.0,115.77692307692307,0.0,0.0,0.0,746.1923076923077,0.0,0.0,1.0,0.0,0.0,0.0,0.0,978.873076923077
0.0,0.0,0.0,329.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,243.5307692307692,0.0,0.0,0.0,418.2692307692308,0.0,0.0,1.0,0.0,0.0,0.0,0.0,992.8
